"","gene","symbol","Description","Entrez"
"1","AT4G35180","LHT7","LYS/HIS transporter 7(LHT7)",829671
"2","AT4G21680","NPF7.2","NITRATE TRANSPORTER 1.8(NRT1.8)",828255
"3","AT3G22460","OASA2","O-acetylserine (thiol) lyase (OAS-TL) isoform A2(OASA2)",821817
"4","AT3G50480","HR4","homolog of RPW8 4(HR4)",824212
"5","AT1G33960","AIG1","P-loop containing nucleoside triphosphate hydrolases superfamily protein(AIG1)",840293
"6","AT5G48400","GLR1.2","Glutamate receptor family protein(ATGLR1.2)",834895
"7","AT1G51913","AT1G51913","transmembrane protein(AT1G51913)",5007791
"8","AT1G10340","AT1G10340","Ankyrin repeat family protein(AT1G10340)",837573
"9","AT5G25260","FLOT2","SPFH/Band 7/PHB domain-containing membrane-associated protein family(AT5G25260)",832597
"10","AT1G69730","WAKL9","Wall-associated kinase family protein(AT1G69730)",843309
"11","AT5G24210","AT5G24210","alpha/beta-Hydrolases superfamily protein(AT5G24210)",832488
"12","AT5G39020","AT5G39020","Malectin/receptor-like protein kinase family protein(AT5G39020)",833894
"13","AT3G26220","CYP71B3","cytochrome P450, family 71, subfamily B, polypeptide 3(CYP71B3)",822223
"14","AT5G45380","DUR3","urea-proton symporter DEGRADATION OF UREA 3 (DUR3)(DUR3)",834574
"15","AT3G04110","GLR1.1","glutamate receptor 1.1(GLR1.1)",819566
"16","AT3G13437","AT3G13437","transmembrane protein(AT3G13437)",5007997
"17","AT1G48260","CIPK17","CBL-interacting protein kinase 17(CIPK17)",841246
"18","AT2G47130","SDR3A","NAD(P)-binding Rossmann-fold superfamily protein(SDR3)",819326
"19","AT3G26470","AT3G26470","Powdery mildew resistance protein, RPW8 domain-containing protein(AT3G26470)",822252
"20","AT4G27260","GH3.5","Auxin-responsive GH3 family protein(WES1)",828834
"21","AT5G46350","WRKY8","WRKY DNA-binding protein 8(WRKY8)",834678
"22","AT1G36622","AT1G36622","transmembrane protein(AT1G36622)",5007772
"23","AT5G20230","BCB","blue-copper-binding protein(BCB)",832145
"24","AT1G26420","AT1G26420","FAD-binding Berberine family protein(AT1G26420)",839184
"25","AT4G11170","AT4G11170","Disease resistance protein (TIR-NBS-LRR class) family(AT4G11170)",826718
"26","AT4G23215","AT4G23215","miscRNA(AT4G23215)",6241102
"27","AT3G54420","ATEP3","homolog of carrot EP3-3 chitinase(EP3)",824608
"28","AT5G02020","SIS","E3 ubiquitin-protein ligase RLIM-like protein(SIS)",831782
"29","AT1G03850","GRXS13","Glutaredoxin family protein(GRXS13)",839392
"30","AT3G26500","PIRL2","plant intracellular ras group-related LRR 2(PIRL2)",822257
"31","AT5G43450","AT5G43450","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT5G43450)",834365
