"","gene","symbol","Description","Entrez"
"1","AT5G12030","HSP17.7","heat shock protein 17.6A(HSP17.6A)",831076
"2","AT2G21820","AT2G21820","seed maturation protein(AT2G21820)",816718
"3","AT3G46230","HSP17.4A","heat shock protein 17.4(HSP17.4)",823768
"4","AT3G51810","EM1","Stress induced protein(EM1)",824344
"5","AT1G03106","AT1G03106","hypothetical protein(AT1G03106)",2745740
"6","AT3G56350","MSD2","Iron/manganese superoxide dismutase family protein(AT3G56350)",824802
"7","AT4G01970","RFS4","stachyose synthase(STS)",828186
"8","AT5G66400","RAB18","Dehydrin family protein(RAB18)",836772
"9","AT1G23070","AT1G23070","organic solute transporter ostalpha protein (DUF300)(AT1G23070)",838915
"10","AT4G13420","POT5","high affinity K+ transporter 5(HAK5)",826973
"11","AT1G48130","PER1","1-cysteine peroxiredoxin 1(PER1)",841231
"12","AT5G01300","AT5G01300","PEBP (phosphatidylethanolamine-binding protein) family protein(AT5G01300)",830983
"13","AT3G21370","BGLU19","beta glucosidase 19(BGLU19)",821691
"14","AT3G21380","JAL36","Mannose-binding lectin superfamily protein(AT3G21380)",821692
"15","AT2G23640","RTNLB13","Reticulan like protein B13(RTNLB13)",816896
"16","AT5G62490","HVA22B","HVA22 homologue B(HVA22B)",836369
"17","AT5G07190","ATS3","embryo-specific protein 3(ATS3)",830610
"18","AT2G29380","HAI3","highly ABA-induced PP2C protein 3(HAI3)",817487
"19","AT2G40170","EM6","Stress induced protein(GEA6)",818608
"20","AT4G10020","HSD5","hydroxysteroid dehydrogenase 5(HSD5)",826593
"21","AT3G24650","ABI3","AP2/B3-like transcriptional factor family protein(ABI3)",822061
"22","AT2G28490","AT2G28490","RmlC-like cupins superfamily protein(AT2G28490)",817397
"23","AT3G54940","AT3G54940","Papain family cysteine protease(AT3G54940)",824659
"24","AT1G65090","AT1G65090","nucleolin(AT1G65090)",842817
"25","AT1G72100","AT1G72100","late embryogenesis abundant domain-containing protein / LEA domain-containing protein(AT1G72100)",843541
"26","AT3G25655","IDL1","inflorescence deficient in abscission (IDA)-like 1(IDL1)",822153
"27","AT3G61990","OMTF3","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(OMTF3)",825372
"28","AT4G03820","AT4G03820","transmembrane protein, putative (DUF3537)(AT4G03820)",825687
"29","AT1G69880","TRX8","thioredoxin H-type 8(TH8)",843324
"30","AT5G64310","AGP1","arabinogalactan protein 1(AGP1)",836552
"31","AT1G78970","LUP1","lupeol synthase 1(LUP1)",844237
"32","AT5G13490","AAC2","ADP/ATP carrier 2(AAC2)",831193
"33","AT1G66360","AT1G66360","Calcium-dependent lipid-binding (CaLB domain) family protein(AT1G66360)",842954
"34","AT1G75590","AT1G75590","SAUR-like auxin-responsive protein family(AT1G75590)",843894
"35","AT1G20070","AT1G20070","hypothetical protein(AT1G20070)",838596
"36","AT5G63350","AT5G63350","von willebrand factor A domain protein(AT5G63350)",836455
"37","AT1G64110","AT1G64110","P-loop containing nucleoside triphosphate hydrolases superfamily protein(DAA1)",842716
"38","AT5G48850","SDI1","Tetratricopeptide repeat (TPR)-like superfamily protein(ATSDI1)",834943
"39","AT4G02360","AT4G02360","transmembrane protein, putative (Protein of unknown function, DUF538)(AT4G02360)",827767
"40","AT5G39720","AIG2L","avirulence induced protein 2 like protein(AIG2L)",833968
"41","AT1G77920","TGA7","bZIP transcription factor family protein(TGA7)",844127
"42","AT5G65640","BHLH93","beta HLH protein 93(bHLH093)",836690
"43","AT2G29090","CYP707A2","cytochrome P450, family 707, subfamily A, polypeptide 2(CYP707A2)",817457
"44","AT3G17120","AT3G17120","transmembrane protein(AT3G17120)",820969
"45","AT2G44350","CSY4","Citrate synthase family protein(ATCS)",819042
"46","AT4G23710","VHA-G2","vacuolar ATP synthase subunit G2(VAG2)",828471
"47","AT1G61050","AT1G61050","alpha 1,4-glycosyltransferase family protein(AT1G61050)",842396
"48","AT4G19230","CYP707A1","cytochrome P450, family 707, subfamily A, polypeptide 1(CYP707A1)",827663
"49","AT2G21510","AT2G21510","DNAJ heat shock N-terminal domain-containing protein(AT2G21510)",816690
