"","gene","symbol","Description","Entrez"
"1","AT4G30140","CDEF1","GDSL-like Lipase/Acylhydrolase superfamily protein(CDEF1)",829137
"2","AT5G25980","TGG2","glucoside glucohydrolase 2(TGG2)",832667
"3","AT1G35310","MLP168","MLP-like protein 168(MLP168)",840420
"4","AT2G30424","TCL2","Homeodomain-like superfamily protein(TCL2)",6240858
"5","AT2G39850","AT2G39850","Subtilisin-like serine endopeptidase family protein(AT2G39850)",818572
"6","AT2G32870","AT2G32870","TRAF-like family protein(AT2G32870)",817848
"7","AT3G16360","AHP4","HPT phosphotransmitter 4(AHP4)",820883
"8","AT3G55240","AT3G55240","Plant protein 1589 of unknown function(AT3G55240)",824690
"9","AT4G01430","AT4G01430","nodulin MtN21 /EamA-like transporter family protein(UMAMIT29)",826685
"10","AT5G54190","PORA","protochlorophyllide oxidoreductase A(PORA)",835507
"11","AT1G01580","FRO2","ferric reduction oxidase 2(FRO2)",839411
"12","AT1G04110","SBT1.2","Subtilase family protein(SDD1)",839287
"13","AT5G18050","SAUR22","SAUR-like auxin-responsive protein family(SAUR22)",830999
"14","AT4G12900","AT4G12900","Gamma interferon responsive lysosomal thiol (GILT) reductase family protein(AT4G12900)",826902
"15","AT4G38850","SAUR15","SAUR-like auxin-responsive protein family(SAUR15)",830040
"16","AT5G44440","AT5G44440","FAD-binding Berberine family protein(AT5G44440)",834471
"17","AT5G49152","AT5G49152","ncRNA(AT5G49152)",5008302
"18","AT5G57240","ORP4C","OSBP(oxysterol binding protein)-related protein 4C(ORP4C)",835830
"19","AT1G08090","NRT2.1","nitrate transporter 2:1(NRT2:1)",837327
"20","AT1G12570","AT1G12570","Glucose-methanol-choline (GMC) oxidoreductase family protein(AT1G12570)",837814
"21","AT3G29320","PHS1","Glycosyl transferase, family 35(PHS1)",822590
"22","AT4G34250","KCS16","3-ketoacyl-CoA synthase 16(KCS16)",829574
"23","AT3G45160","AT3G45160","Putative membrane lipoprotein(AT3G45160)",823652
"24","AT2G33850","AT2G33850","E6-like protein(AT2G33850)",817954
"25","AT5G47500","PME68","Pectin lyase-like superfamily protein(PME5)",834800
"26","AT1G24070","CSLA10","cellulose synthase-like A10(CSLA10)",839019
"27","AT5G59320","LTP3","lipid transfer protein 3(LTP3)",836051
"28","AT2G37870","AT2G37870","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT2G37870)",818363
"29","AT4G21650","AT4G21650","Subtilase family protein(AT4G21650)",828252
"30","AT1G52410","TSA1","TSK-associating protein 1(TSA1)",841671
"31","AT4G11211","AT4G11211",NA,NA
"32","AT3G52180","DSP4","dual specificity protein phosphatase (DsPTP1) family protein(SEX4)",824383
"33","AT3G02020","AK3","aspartate kinase 3(AK3)",821287
"34","AT4G28250","EXPB3","expansin B3(EXPB3)",828940
"35","AT3G45140","LOX2","lipoxygenase 2(LOX2)",823650
"36","AT1G06080","ADS1","delta 9 desaturase 1(ADS1)",837117
"37","AT5G22580","AT5G22580","Stress responsive A/B Barrel Domain-containing protein(AT5G22580)",832321
"38","AT1G75120","RRA1","Nucleotide-diphospho-sugar transferase family protein(RRA1)",843849
"39","AT4G22490","AT4G22490","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22490)",828344
"40","AT1G28710","AT1G28710","Nucleotide-diphospho-sugar transferase family protein(AT1G28710)",839771
"41","AT3G63450","AT3G63450","RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G63450)",825520
"42","AT1G15460","BOR4","HCO3- transporter family(BOR4)",838116
"43","AT1G60095","JAL16","Mannose-binding lectin superfamily protein(AT1G60095)",842305
"44","AT4G15393","CYP702A5","cytochrome P450, family 702, subfamily A, polypeptide 5(CYP702A5)",827206
"45","AT1G03340","AT1G03340","hypothetical protein(AT1G03340)",839525
"46","AT1G19330","AT1G19330","histone deacetylase complex subunit(AT1G19330)",838515
"47","AT2G38995","AT2G38995","O-acyltransferase (WSD1-like) family protein(AT2G38995)",818485
"48","AT4G22513","AT4G22513","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22513)",5008158
"49","AT3G52550","AT3G52550","transcription repressor OFP15-like protein(AT3G52550)",824421
"50","AT4G22520","AT4G22520","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22520)",828347
"51","AT5G27890","AT5G27890","hypothetical protein(AT5G27890)",832853
"52","AT1G62262","SLAH4","SLAC1 homologue 4(SLAH4)",5007829
"53","AT4G35810","AT4G35810","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT4G35810)",829735
"54","AT4G22505","AT4G22505","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22505)",5008157
"55","AT4G22517","AT4G22517","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22517)",5008159
"56","AT1G01250","ERF023","Integrase-type DNA-binding superfamily protein(AT1G01250)",839322
"57","AT1G35290","AT1G35290","Thioesterase superfamily protein(AT1G35290)",840418
"58","AT5G64770","RGF9","root meristem growth factor(RGF9)",836598
"59","AT4G25760","GDU2","glutamine dumper 2(GDU2)",828681
"60","AT5G58780","AT5G58780","Undecaprenyl pyrophosphate synthetase family protein(cPT5)",835992
"61","AT1G49860","GSTF14","glutathione S-transferase (class phi) 14(GSTF14)",841409
"62","AT5G18010","SAUR19","SAUR-like auxin-responsive protein family(SAUR19)",831668
"63","AT1G22710","SUC2","sucrose-proton symporter 2(SUC2)",838877
"64","AT1G55010","PDF1.5","plant defensin 1.5(PDF1.5)",841943
"65","AT4G03205","CPX2","Coproporphyrinogen III oxidase(hemf2)",828029
"66","AT5G50160","FRO8","ferric reduction oxidase 8(FRO8)",835081
"67","AT1G71050","HIPP20","Heavy metal transport/detoxification superfamily protein(HIPP20)",843445
"68","AT3G05727","AT3G05727","S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family(AT3G05727)",3768785
"69","AT3G10870","MES17","methyl esterase 17(MES17)",820257
"70","AT3G60520","AT3G60520","zinc ion-binding protein(AT3G60520)",825223
