"","gene","symbol","Description","Entrez"
"1","AT2G05280","AT2G05280","hypothetical protein(AT2G05280)",3768528
"2","AT4G39403","PLS","polari(PLS)",3770598
"3","AT3G26740","CCL","CCR-like protein(CCL)",822286
"4","AT1G29920","LHCB1.2","chlorophyll A/B-binding protein 2(CAB2)",839870
"5","AT2G05070","LHCB2.2","photosystem II light harvesting complex protein 2.2(LHCB2.2)",815055
"6","AT1G75380","BBD1","bifunctional nuclease in basal defense response 1(BBD1)",843874
"7","AT2G30790","PSBP2","photosystem II subunit P-2(PSBP-2)",817630
"8","AT1G02300","AT1G02300","Cysteine proteinases superfamily protein(AT1G02300)",839576
"9","AT3G59060","PIF5","phytochrome interacting factor 3-like 6(PIL6)",825075
"10","AT3G62550","AT3G62550","Adenine nucleotide alpha hydrolases-like superfamily protein(AT3G62550)",825429
"11","AT1G29910","LHCB1.2","chlorophyll A/B binding protein 3(CAB3)",839869
"12","AT3G27690","LHCB2.4","photosystem II light harvesting complex protein 2.3(LHCB2.3)",822391
"13","AT5G54270","LHCB3","light-harvesting chlorophyll B-binding protein 3(LHCB3)",835515
"14","AT3G59930","AT3G59930","defensin-like protein(AT3G59930)",825163
"15","AT1G69830","AMY3","alpha-amylase-like 3(AMY3)",843319
"16","AT3G02500","AT3G02500","mental retardation GTPase activating protein(AT3G02500)",821065
"17","AT2G13810","ALD1","AGD2-like defense response protein 1(ALD1)",815864
"18","AT3G60180","UMK1","P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G60180)",825188
"19","AT4G37770","ACS8","1-amino-cyclopropane-1-carboxylate synthase 8(ACS8)",829933
"20","AT1G53030","COX17-2","Cytochrome C oxidase copper chaperone (COX17)(AT1G53030)",841736
"21","AT1G73480","AT1G73480","alpha/beta-Hydrolases superfamily protein(AT1G73480)",843683
"22","AT5G61530","AT5G61530","small G protein family protein / RhoGAP family protein(AT5G61530)",836274
"23","AT4G29190","AT4G29190","Zinc finger C-x8-C-x5-C-x3-H type family protein(OZF2)",829040
"24","AT4G37180","AT4G37180","Homeodomain-like superfamily protein(AT4G37180)",829872
"25","AT1G33970","AT1G33970","P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G33970)",840294
"26","AT2G41870","AT2G41870","Remorin family protein(AT2G41870)",818787
"27","AT2G36680","VPS37-2","Modifier of rudimentary (Mod(r)) protein(AT2G36680)",818240
"28","AT5G27280","AT5G27280","Zim17-type zinc finger protein(AT5G27280)",832786
"29","AT5G64530","ANAC104","xylem NAC domain 1(XND1)",836574
"30","AT1G66390","MYB90","myb domain protein 90(MYB90)",842957
"31","AT4G25480","DREB1A","dehydration response element B1A(DREB1A)",828652
"32","AT1G21890","AT1G21890","nodulin MtN21 /EamA-like transporter family protein(UMAMIT19)",838791
"33","AT4G00910","ALMT10","aluminum activated malate transporter family protein(AT4G00910)",827985
"34","AT2G33385","ARPC2B","actin-related protein C2B(arpc2b)",817902
"35","AT3G48970","AT3G48970","Heavy metal transport/detoxification superfamily protein(AT3G48970)",824058
"36","AT1G47960","C/VIF1","cell wall / vacuolar inhibitor of fructosidase 1(C/VIF1)",841214
"37","AT4G17480","AT4G17480","alpha/beta-Hydrolases superfamily protein(AT4G17480)",827459
"38","AT4G01985","AT4G01985","hypothetical protein(AT4G01985)",2745601
"39","AT5G40020","AT5G40020","Pathogenesis-related thaumatin superfamily protein(AT5G40020)",833999
"40","AT5G53820","AT5G53820","Late embryogenesis abundant protein (LEA) family protein(AT5G53820)",835463
"41","AT1G20700","WOX14","WUSCHEL related homeobox 14(WOX14)",838660
"42","AT2G34790","MEE23","FAD-binding Berberine family protein(MEE23)",818044
"43","AT2G41730","AT2G41730","calcium-binding site protein(AT2G41730)",818772
"44","AT5G24640","AT5G24640","hypothetical protein(AT5G24640)",832535
"45","AT1G79610","NHX6","Na+/H+ antiporter 6(NHX6)",844299
"46","AT4G19400","AT4G19400","Profilin family protein(AT4G19400)",827681
