"","gene","symbol","Description","Entrez"
"1","AT5G57815","COX6B-2","Cytochrome c oxidase, subunit Vib family protein(AT5G57815)",835891
"2","AT4G21215","AT4G21215","transmembrane protein(AT4G21215)",827870
"3","AT5G50330","AT5G50330","Protein kinase superfamily protein(AT5G50330)",835099
"4","AT4G20930","AT4G20930","6-phosphogluconate dehydrogenase family protein(AT4G20930)",827841
"5","AT5G64180","AT5G64180","tropomyosin(AT5G64180)",836539
"6","AT2G42340","AT2G42340","hypothetical protein(AT2G42340)",818835
"7","AT4G11521","CRK34","Receptor-like protein kinase-related family protein(AT4G11521)",7922527
"8","AT4G36850","AT4G36850","PQ-loop repeat family protein / transmembrane family protein(AT4G36850)",829838
"9","AT1G68290","ENDO2","endonuclease 2(ENDO2)",843158
"10","AT3G07730","AT3G07730","hypothetical protein(AT3G07730)",819964
"11","AT2G29470","GSTU3","glutathione S-transferase tau 3(GSTU3)",817496
"12","AT4G11480","CRK32","cysteine-rich RLK (RECEPTOR-like protein kinase) 32(CRK32)",826753
"13","AT1G08050","AT1G08050","Zinc finger (C3HC4-type RING finger) family protein(AT1G08050)",837321
"14","AT1G76980","AT1G76980","patatin-like phospholipase domain protein(AT1G76980)",844034
"15","AT4G36648","AT4G36648","ncRNA(AT4G36648)",5008185
"16","AT1G18890","CPK10","calcium-dependent protein kinase 1(CDPK1)",838470
"17","AT2G38470","WRKY33","WRKY DNA-binding protein 33(WRKY33)",818429
"18","AT3G01830","CML40","Calcium-binding EF-hand family protein(AT3G01830)",820033
"19","AT1G80110","PP2B11","phloem protein 2-B11(PP2-B11)",844351
"20","AT5G35690","AT5G35690","zinc metalloproteinase-like protein(AT5G35690)",833542
"21","AT3G03650","EDA5","Exostosin family protein(EDA5)",821197
"22","AT1G74000","SSL11","strictosidine synthase 3(SS3)",843738
"23","AT1G78680","GGH2","gamma-glutamyl hydrolase 2(GGH2)",844204
"24","AT4G02380","SAG21","senescence-associated gene 21(SAG21)",828053
"25","AT4G35840","NIP1","RING/U-box superfamily protein(AT4G35840)",829738
"26","AT2G17840","ERD7","Senescence/dehydration-associated protein-like protein(ERD7)",816293
"27","AT3G14560","AT3G14560","hypothetical protein(AT3G14560)",820682
