"","gene","symbol","Description","Entrez"
"1","AT4G10955","AT4G10955","alpha/beta-Hydrolases superfamily protein(AT4G10955)",826695
"2","AT1G54840","IDM2","HSP20-like chaperones superfamily protein(AT1G54840)",841923
"3","AT5G48060","AT5G48060","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein(AT5G48060)",834858
"4","AT1G70581","AT1G70581","ncRNA(AT1G70581)",6241359
"5","AT5G58750","AT5G58750","NAD(P)-binding Rossmann-fold superfamily protein(AT5G58750)",835989
"6","AT1G67460","AT1G67460","Minichromosome maintenance (MCM2/3/5) family protein(AT1G67460)",843067
"7","AT1G44160","AT1G44160","HSP40/DnaJ peptide-binding protein(AT1G44160)",841019
"8","AT2G45220","PME17","Plant invertase/pectin methylesterase inhibitor superfamily(AT2G45220)",819130
"9","AT1G33950","AT1G33950","Avirulence induced gene (AIG1) family protein(AT1G33950)",840292
"10","AT5G13080","WRKY75","WRKY DNA-binding protein 75(WRKY75)",831147
"11","AT5G39110","GLP6","RmlC-like cupins superfamily protein(AT5G39110)",833904
"12","AT1G11370","PME56","Pectin lyase-like superfamily protein(AT1G11370)",837679
"13","AT2G19500","CKX2","cytokinin oxidase 2(CKX2)",816469
"14","AT1G08310","AT1G08310","alpha/beta-Hydrolases superfamily protein(AT1G08310)",837351
"15","AT1G11572","AT1G11572","Plant thionin family protein(AT1G11572)",5007683
"16","ATMG00640","ORF25",NA,NA
"17","AT5G26146","AT5G26146","ncRNA(AT5G26146)",6241476
"18","AT3G14200","AT3G14200","Chaperone DnaJ-domain superfamily protein(AT3G14200)",820637
"19","AT4G12080","AHL1","AT-hook motif nuclear-localized protein 1(AHL1)",826816
"20","AT5G42250","AT5G42250","Zinc-binding alcohol dehydrogenase family protein(AT5G42250)",834230
"21","AT5G51780","BHLH36","basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT5G51780)",835252
"22","AT4G08810","SUB1","calcium ion binding protein(SUB1)",826452
"23","AT1G22530","PATL2","PATELLIN 2(PATL2)",838859
"24","AT3G23750","AT3G23750","Leucine-rich repeat protein kinase family protein(AT3G23750)",821957
"25","AT3G08930","AT3G08930","LMBR1-like membrane protein(AT3G08930)",820042
"26","AT3G16270","AT3G16270","ENTH/VHS family protein(AT3G16270)",820873
"27","AT3G05320","AT3G05320","O-fucosyltransferase family protein(AT3G05320)",819696
"28","AT3G61850","DOF3.7","Dof-type zinc finger DNA-binding family protein(DAG1)",825358
"29","AT4G20840","AT4G20840","FAD-binding Berberine family protein(AT4G20840)",827832
